Discipline,Skill_Number,Skill_Description,Skill_Description_Improved
Ciências Humanas e suas Tecnologias,12,Analisar o papel da justiça como instituição na organização das sociedades.,Analisar o papel da justiça como instituição na organização das sociedades: Investigar como o sistema judiciário e suas decisões influenciam e refletem os valores e estruturas de uma sociedade.
Ciências Humanas e suas Tecnologias,13,Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder.,Analisar a atuação dos movimentos sociais que contribuíram para mudanças ou rupturas em processos de disputa pelo poder: Examinar a influência e impacto de movimentos sociais específicos na mudança política e na reconfiguração do poder.
Ciências Humanas e suas Tecnologias,14,"Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas.","Comparar diferentes pontos de vista, presentes em textos analíticos e interpretativos, sobre situação ou fatos de natureza histórico-geográfica acerca das instituições sociais, políticas e econômicas: Avaliar e contrastar diversas perspectivas encontradas em fontes variadas sobre eventos ou situações de relevância histórico-geográfica."
Ciências Humanas e suas Tecnologias,15,"Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história. ","Avaliar criticamente conflitos culturais, sociais, políticos, econômicos ou ambientais ao longo da história: Julgar e analisar disputas e tensões em diversos contextos históricos, ponderando suas causas, desenvolvimentos e consequências."
Ciências Humanas e suas Tecnologias,16,Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social.,Identificar registros sobre o papel das técnicas e tecnologias na organização do trabalho e/ou da vida social: Reconhecer e analisar fontes que detalham a influência e evolução da tecnologia nas esferas profissional e social.
Ciências Humanas e suas Tecnologias,17,Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção.,Analisar fatores que explicam o impacto das novas tecnologias no processo de territorialização da produção: Investigar como avanços tecnológicos influenciam e reconfiguram a produção e distribuição geográfica de bens e serviços.
Ciências Humanas e suas Tecnologias,18,Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais.,"Analisar diferentes processos de produção ou circulação de riquezas e suas implicações sócio-espaciais: Examinar como a produção, distribuição e consumo de riquezas afetam dinâmicas sociais e padrões geográficos."
Ciências Humanas e suas Tecnologias,19,Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano.,Reconhecer as transformações técnicas e tecnológicas que determinam as várias formas de uso e apropriação dos espaços rural e urbano: Identificar como inovações técnicas e tecnológicas têm redefinido a maneira como os espaços urbanos e rurais são utilizados e ocupados.
Ciências Humanas e suas Tecnologias,20,Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho. ,Selecionar argumentos favoráveis ou contrários às modificações impostas pelas novas tecnologias à vida social e ao mundo do trabalho: Avaliar e escolher entre diferentes perspectivas relacionadas aos impactos das tecnologias emergentes na sociedade e no ambiente de trabalho.
Ciências Humanas e suas Tecnologias,21,Identificar o papel dos meios de comunicação na construção da vida social.,Identificar o papel dos meios de comunicação na construção da vida social: Reconhecer e compreender a influência e o papel central dos meios de comunicação na formação e transformação das sociedades modernas.
Ciências Humanas e suas Tecnologias,22,Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas.,Analisar as lutas sociais e conquistas obtidas no que se refere às mudanças nas legislações ou nas políticas públicas: Investigar como movimentos e lutas sociais influenciaram e resultaram em alterações legislativas ou políticas.
Ciências Humanas e suas Tecnologias,23,Analisar a importância dos valores éticos na estruturação política das sociedades.,Analisar a importância dos valores éticos na estruturação política das sociedades: Examinar como princípios éticos fundamentam e guiam estruturas e decisões políticas em diferentes culturas.
Ciências Humanas e suas Tecnologias,24,Relacionar cidadania e democracia na organização das sociedades.,"Relacionar cidadania e democracia na organização das sociedades: Compreender a inter-relação entre os conceitos de cidadania e democracia, e como eles informam a organização e funcionamento das sociedades."
Ciências Humanas e suas Tecnologias,25,Identificar estratégias que promovam formas de inclusão social.  ,Identificar estratégias que promovam formas de inclusão social: Reconhecer e entender abordagens e práticas que buscam fomentar a inclusão e igualdade em diferentes contextos sociais.
Ciências Humanas e suas Tecnologias,26,Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem.,Identificar em fontes diversas o processo de ocupação dos meios físicos e as relações da vida humana com a paisagem: Localizar e analisar registros de como os seres humanos habitaram e interagiram com diferentes paisagens ao longo do tempo.
Ciências Humanas e suas Tecnologias,27,"Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos.","Analisar de maneira crítica as interações da sociedade com o meio físico, levando em consideração aspectos históricos e(ou) geográficos: Avaliar as complexas relações entre sociedades e seus ambientes, considerando as histórias e geografias específicas de cada interação."
Ciências Humanas e suas Tecnologias,28,Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos.,Relacionar o uso das tecnologias com os impactos sócio-ambientais em diferentes contextos histórico-geográficos: Compreender como o uso e desenvolvimento de tecnologias podem afetar o ambiente e as sociedades em diversos períodos históricos e locais.
Ciências Humanas e suas Tecnologias,29,"Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas.","Reconhecer a função dos recursos naturais na produção do espaço geográfico, relacionando-os com as mudanças provocadas pelas ações humanas: Identificar como os recursos naturais influenciam a organização e transformação dos espaços geográficos, especialmente em resposta às atividades humanas."
Ciências Humanas e suas Tecnologias,30,Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas.,"Avaliar as relações entre preservação e degradação da vida no planeta nas diferentes escalas: Julgar e ponderar as dinâmicas entre esforços de conservação e impactos degradantes no ambiente em contextos locais, regionais e globais."
